JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2451598.9194,5.3,,,Vis.,WPX,,NA,,NA,,,,Z,,,,ETA CAR,VSS,STD,,,,
2451598.9451,5.2,,,Vis.,TBX,KS,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451598.9632,5.6,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451599.4882,5.1,,,Vis.,SBN,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451599.9367,5.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,ETA CAR,VSS,STD,,,,
2451600.1556,5.5,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451600.5208,5.1,,,Vis.,SBN,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451600.9451,5.2,,,Vis.,TBX,KS,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451601.88,5.2,,,Vis.,MBB,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451602.4993,4.9,,,Vis.,SBN,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451602.5,5.1,,,Vis.,PLA,A,,,,,,,V,,,,ETA CAR,,STD,,,,
2451602.9333,5.6,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451602.943,5.3,,,Vis.,WPX,,NA,,NA,,,,Z,,,,ETA CAR,VSS,STD,,,,
2451603.5188,5.0,,,Vis.,SBN,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451603.573,5.5,,,Vis.,IPA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451603.6,5.11,,,Vis.,OSE,,508,538,OTERO2001,,,,Z,,,,ETA CAR,AAVSO,STD,,,,
2451603.9389,5.2,,,Vis.,TBX,KS,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451604.2014,5.5,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451604.3,5.5,,,Vis.,MLF,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451604.82,5.4,,,Vis.,IFJ,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451604.9194,5.4,,,Vis.,WPX,,NA,,NA,,,,Z,,,,ETA CAR,VSS,STD,,,,
2451605.9104,5.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,ETA CAR,VSS,STD,,,,
2451605.9264,5.6,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451606.4750,5.0,,,Vis.,SBN,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451606.5,5.6,,,Vis.,PPB,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451606.5,5.1,,,Vis.,OSE,,508,538,OTERO2001,,,,Z,,,,ETA CAR,AAVSO,STD,,,,
2451606.859,5.3,,,Vis.,HGC,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451606.8669,5.487,,,U,APOG,,,,,S. WALKER (APOG) ARCHIVAL DATA IMPORT,1,,Z,,,2451606.8692,ETA CAR,,STD,208,,,
2451606.8669,5.124,,,V,APOG,,,,,S. WALKER (APOG) ARCHIVAL DATA IMPORT,1,,Z,,,2451606.8692,ETA CAR,,STD,208,,,
2451606.8669,5.819,,,B,APOG,,,,,S. WALKER (APOG) ARCHIVAL DATA IMPORT,1,,Z,,,2451606.8692,ETA CAR,,STD,208,,,
2451606.89,5.4,,,Vis.,MBB,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451606.9082,5.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,ETA CAR,VSS,STD,,,,
2451606.9306,5.7,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451607.5,5.11,,,Vis.,OSE,,508,538,OTERO2001,,,,Z,,,,ETA CAR,AAVSO,STD,,,,
2451607.9264,5.2,,,Vis.,TBX,KS,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451608.4222,5.1,,,Vis.,SBN,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451608.4590,5.1,,,Vis.,ARL,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451608.5,5.1,,,Vis.,PLA,A,,,,,,,V,,,,ETA CAR,,STD,,,,
2451608.841,5.3,,,Vis.,HGC,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451608.87,5.4,,,Vis.,MBB,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451608.9403,5.6,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451609.5208,5.1,,,Vis.,SBN,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451609.5583,5.1,,,Vis.,ARL,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451609.89,5.2,,,Vis.,MBB,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451609.9,6.1,,,Vis.,CR,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451609.941,5.2,,,Vis.,TBX,KS,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451610.4437,5.0,,,Vis.,SBN,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451610.6,5.13,,,Vis.,OSE,,508,538,OTERO2001,,,,Z,,,,ETA CAR,AAVSO,STD,,,,
2451610.82,5.4,,,Vis.,IFJ,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451611.6,5.14,,,Vis.,OSE,,508,538,OTERO2001,,,,Z,,,,ETA CAR,AAVSO,STD,,,,
2451611.9167,5.7,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451612.4771,5.1,,,Vis.,SBN,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451612.5250,5.2,,,Vis.,AAX,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451612.865,5.1,,,Vis.,HGC,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451612.87,5.2,,,Vis.,MBB,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451612.8964,5.128,,,V,APOG,,,,,S. WALKER (APOG) ARCHIVAL DATA IMPORT,1,,Z,,,2451612.8989,ETA CAR,,STD,209,,,
2451612.8964,5.795,,,B,APOG,,,,,S. WALKER (APOG) ARCHIVAL DATA IMPORT,1,,Z,,,2451612.8989,ETA CAR,,STD,209,,,
2451612.8964,5.51,,,U,APOG,,,,,S. WALKER (APOG) ARCHIVAL DATA IMPORT,1,,Z,,,2451612.8989,ETA CAR,,STD,209,,,
2451612.9257,5.8,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451613.5278,5.5,,,Vis.,TVG,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451613.9424,5.6,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451614.5,5.6,,,Vis.,PPB,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451614.542,5.3,,,Vis.,DZS,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451615.4694,5.2,,,Vis.,ARL,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451615.5396,5.1,,,Vis.,SBN,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451615.6,5.14,,,Vis.,OSE,,508,538,OTERO2001,,,,Z,,,,ETA CAR,AAVSO,STD,,,,
2451615.609,5.3,,,Vis.,DZS,,,,,,,,V,,,,ETA CAR,,STD,,,,
